Type,Price,Location,Bath(s),Area,Purpose,Bedroom(s),Added,Initial Amount,Monthly Installment,Remaining Installments,Area Name
Flat,PKR6.5 Crore,"Bath Island, Karachi, Sindh",4,311 Sq. Yd.,For Sale,4,2 days ago,,,,Bath Island
Flat,PKR7.5 Crore,"Bath Island, Karachi, Sindh",4,278 Sq. Yd.,For Sale,4,2 days ago,,,,Bath Island
House,PKR1.85 Crore,"Orangi Town, Karachi, Sindh",4,101 Sq. Yd.,For Sale,6,1 week ago,,,,Orangi Town
Flat,PKR2.7 Crore,"Orangi Town, Karachi, Sindh",3,150 Sq. Yd.,For Sale,3,1 day ago,,,,Orangi Town
House,PKR10.5 Crore,"Orangi Town, Karachi, Sindh",5,375 Sq. Yd.,For Sale,5,2 days ago,,,,Orangi Town
House,PKR1.79 Crore,"Orangi Town, Karachi, Sindh",4,100 Sq. Yd.,For Sale,6,4 days ago,,,,Orangi Town
House,PKR1.05 Crore,"Orangi Town, Karachi, Sindh",5,90 Sq. Yd.,For Sale,5,4 weeks ago,,,,Orangi Town
House,PKR1.1 Crore,"Orangi Town, Karachi, Sindh",4,80 Sq. Yd.,For Sale,4,3 weeks ago,,,,Orangi Town
House,PKR50 Lakh,"Orangi Town, Karachi, Sindh",3,13 Sq. Yd.,For Sale,4,4 weeks ago,,,,Orangi Town
House,PKR70 Lakh,"Orangi Town, Karachi, Sindh",-,60 Sq. Yd.,For Sale,-,2 months ago,,,,Orangi Town
House,PKR70 Lakh,"Orangi Town, Karachi, Sindh",-,60 Sq. Yd.,For Sale,-,2 months ago,,,,Orangi Town
House,PKR60 Lakh,"Orangi Town, Karachi, Sindh",-,60 Sq. Yd.,For Sale,-,2 months ago,,,,Orangi Town
House,PKR70 Lakh,"Orangi Town, Karachi, Sindh",-,60 Sq. Yd.,For Sale,-,2 months ago,,,,Orangi Town
House,PKR80 Lakh,"Orangi Town, Karachi, Sindh",-,60 Sq. Yd.,For Sale,-,2 months ago,,,,Orangi Town
House,PKR60 Lakh,"Orangi Town, Karachi, Sindh",-,60 Sq. Yd.,For Sale,-,2 months ago,,,,Orangi Town
House,PKR80 Lakh,"Orangi Town, Karachi, Sindh",-,60 Sq. Yd.,For Sale,-,2 months ago,,,,Orangi Town
House,PKR70 Lakh,"Orangi Town, Karachi, Sindh",-,60 Sq. Yd.,For Sale,-,2 months ago,,,,Orangi Town
House,PKR80 Lakh,"Orangi Town, Karachi, Sindh",-,60 Sq. Yd.,For Sale,-,2 months ago,,,,Orangi Town
House,PKR60 Lakh,"Orangi Town, Karachi, Sindh",-,60 Sq. Yd.,For Sale,-,2 months ago,,,,Orangi Town
House,PKR70 Lakh,"Orangi Town, Karachi, Sindh",-,60 Sq. Yd.,For Sale,-,2 months ago,,,,Orangi Town
House,PKR60 Lakh,"Orangi Town, Karachi, Sindh",-,60 Sq. Yd.,For Sale,-,2 months ago,,,,Orangi Town
House,PKR80 Lakh,"Orangi Town, Karachi, Sindh",-,60 Sq. Yd.,For Sale,-,2 months ago,,,,Orangi Town
House,PKR60 Lakh,"Orangi Town, Karachi, Sindh",-,60 Sq. Yd.,For Sale,-,2 months ago,,,,Orangi Town
House,PKR70 Lakh,"Orangi Town, Karachi, Sindh",-,60 Sq. Yd.,For Sale,-,2 months ago,,,,Orangi Town
House,PKR80 Lakh,"Orangi Town, Karachi, Sindh",-,60 Sq. Yd.,For Sale,-,2 months ago,,,,Orangi Town
House,PKR70 Lakh,"Orangi Town, Karachi, Sindh",-,60 Sq. Yd.,For Sale,-,2 months ago,,,,Orangi Town
House,PKR60 Lakh,"Orangi Town, Karachi, Sindh",-,60 Sq. Yd.,For Sale,-,2 months ago,,,,Orangi Town
Flat,PKR62 Lakh,"Mehmoodabad, Karachi, Sindh",3,90 Sq. Yd.,For Sale,3,2 days ago,,,,Mehmoodabad
Flat,PKR72 Lakh,"Mehmoodabad, Karachi, Sindh",2,120 Sq. Yd.,For Sale,3,3 weeks ago,,,,Mehmoodabad
Flat,PKR62 Lakh,"Mehmoodabad, Karachi, Sindh",2,94 Sq. Yd.,For Sale,3,3 weeks ago,,,,Mehmoodabad
Flat,PKR48 Lakh,"Mehmoodabad, Karachi, Sindh",3,94 Sq. Yd.,For Sale,3,3 weeks ago,,,,Mehmoodabad
Flat,PKR52 Lakh,"Mehmoodabad, Karachi, Sindh",3,94 Sq. Yd.,For Sale,3,3 weeks ago,PKR30 Lakh,PKR3.5 Lakh,6 Months,Mehmoodabad
Flat,PKR55 Lakh,"Mehmoodabad, Karachi, Sindh",3,94 Sq. Yd.,For Sale,3,3 weeks ago,PKR25 Lakh,PKR2.5 Lakh,12 Months,Mehmoodabad
Flat,PKR45 Lakh,"Mehmoodabad, Karachi, Sindh",2,65 Sq. Yd.,For Sale,2,4 hours ago,,,,Mehmoodabad
Flat,PKR65 Lakh,"Mehmoodabad, Karachi, Sindh",2,89 Sq. Yd.,For Sale,2,1 day ago,,,,Mehmoodabad
Flat,PKR48 Lakh,"Mehmoodabad, Karachi, Sindh",-,100 Sq. Yd.,For Sale,-,3 days ago,,,,Mehmoodabad
Flat,PKR55 Lakh,"Mehmoodabad, Karachi, Sindh",-,100 Sq. Yd.,For Sale,-,3 days ago,,,,Mehmoodabad
Flat,PKR65 Lakh,"Mehmoodabad, Karachi, Sindh",-,120 Sq. Yd.,For Sale,-,3 days ago,,,,Mehmoodabad
Flat,PKR34 Lakh,"Mehmoodabad, Karachi, Sindh",2,61 Sq. Yd.,For Sale,2,3 weeks ago,,,,Mehmoodabad
Flat,PKR45 Lakh,"Mehmoodabad, Karachi, Sindh",2,72 Sq. Yd.,For Sale,2,3 weeks ago,,,,Mehmoodabad
Flat,PKR45 Lakh,"Mehmoodabad, Karachi, Sindh",2,72 Sq. Yd.,For Sale,2,3 weeks ago,,,,Mehmoodabad
Flat,PKR45 Lakh,"Mehmoodabad, Karachi, Sindh",2,72 Sq. Yd.,For Sale,2,3 weeks ago,,,,Mehmoodabad
Flat,PKR35 Lakh,"Mehmoodabad, Karachi, Sindh",2,78 Sq. Yd.,For Sale,2,3 weeks ago,,,,Mehmoodabad
Flat,PKR35 Lakh,"Mehmoodabad, Karachi, Sindh",2,61 Sq. Yd.,For Sale,2,3 weeks ago,,,,Mehmoodabad
Flat,PKR30 Lakh,"Mehmoodabad, Karachi, Sindh",2,61 Sq. Yd.,For Sale,2,3 weeks ago,,,,Mehmoodabad
Flat,PKR42 Lakh,"Mehmoodabad, Karachi, Sindh",2,72 Sq. Yd.,For Sale,2,3 weeks ago,,,,Mehmoodabad
Flat,PKR40 Lakh,"Mehmoodabad, Karachi, Sindh",2,67 Sq. Yd.,For Sale,2,3 weeks ago,,,,Mehmoodabad
Flat,PKR95 Lakh,"Mehmoodabad, Karachi, Sindh",3,155 Sq. Yd.,For Sale,3,3 weeks ago,,,,Mehmoodabad
Flat,PKR80 Lakh,"Mehmoodabad, Karachi, Sindh",3,100 Sq. Yd.,For Sale,3,3 weeks ago,,,,Mehmoodabad
Flat,PKR70 Lakh,"Mehmoodabad, Karachi, Sindh",2,100 Sq. Yd.,For Sale,3,3 weeks ago,,,,Mehmoodabad
Flat,PKR52 Lakh,"Mehmoodabad, Karachi, Sindh",2,80 Sq. Yd.,For Sale,3,3 weeks ago,,,,Mehmoodabad
Flat,PKR36 Lakh,"Mehmoodabad, Karachi, Sindh",2,70 Sq. Yd.,For Sale,2,3 weeks ago,,,,Mehmoodabad
Flat,PKR4.2 Crore,"Jamshed Road, Karachi, Sindh",4,244 Sq. Yd.,For Sale,4,3 days ago,,,,Jamshed Road
Flat,PKR1.6 Crore,"Jamshed Road, Karachi, Sindh",3,150 Sq. Yd.,For Sale,3,3 days ago,,,,Jamshed Road
Flat,PKR1 Crore,"Jamshed Road, Karachi, Sindh",3,156 Sq. Yd.,For Sale,3,2 weeks ago,,,,Jamshed Road
Flat,PKR1.7 Crore,"Jamshed Road, Karachi, Sindh",2,100 Sq. Yd.,For Sale,2,1 day ago,,,,Jamshed Road
Flat,PKR1.6 Crore,"Jamshed Road, Karachi, Sindh",-,167 Sq. Yd.,For Sale,-,2 weeks ago,,,,Jamshed Road
Flat,PKR3.25 Crore,"Jamshed Road, Karachi, Sindh",4,167 Sq. Yd.,For Sale,3,2 weeks ago,,,,Jamshed Road
Flat,PKR1.6 Crore,"Jamshed Road, Karachi, Sindh",-,167 Sq. Yd.,For Sale,-,2 weeks ago,,,,Jamshed Road
Flat,PKR95 Lakh,"Jamshed Road, Karachi, Sindh",-,100 Sq. Yd.,For Sale,-,4 weeks ago,,,,Jamshed Road
Flat,PKR1.5 Crore,"Jamshed Road, Karachi, Sindh",3,156 Sq. Yd.,For Sale,3,4 weeks ago,,,,Jamshed Road
Flat,PKR1.5 Crore,"Jamshed Road, Karachi, Sindh",3,156 Sq. Yd.,For Sale,3,4 weeks ago,,,,Jamshed Road
Flat,PKR77 Lakh,"Jamshed Road, Karachi, Sindh",2,72 Sq. Yd.,For Sale,2,4 weeks ago,,,,Jamshed Road
Flat,PKR75 Lakh,"Jamshed Road, Karachi, Sindh",2,72 Sq. Yd.,For Sale,2,4 weeks ago,,,,Jamshed Road
Flat,PKR80 Lakh,"Jamshed Road, Karachi, Sindh",2,67 Sq. Yd.,For Sale,2,4 weeks ago,,,,Jamshed Road
Flat,PKR1.8 Crore,"Jamshed Road, Karachi, Sindh",3,172 Sq. Yd.,For Sale,3,9 hours ago,,,,Jamshed Road
Flat,PKR2.35 Crore,"Jamshed Road, Karachi, Sindh",4,244 Sq. Yd.,For Sale,6,1 day ago,,,,Jamshed Road
Flat,PKR2 Crore,"Jamshed Road, Karachi, Sindh",3,167 Sq. Yd.,For Sale,3,1 day ago,,,,Jamshed Road
Flat,PKR2.5 Crore,"Jamshed Road, Karachi, Sindh",3,189 Sq. Yd.,For Sale,3,1 day ago,,,,Jamshed Road
Flat,PKR1.6 Crore,"Jamshed Road, Karachi, Sindh",3,167 Sq. Yd.,For Sale,3,1 day ago,,,,Jamshed Road
Flat,PKR1.5 Crore,"Jamshed Road, Karachi, Sindh",3,156 Sq. Yd.,For Sale,3,5 days ago,,,,Jamshed Road
Flat,PKR1.4 Crore,"Jamshed Road, Karachi, Sindh",-,156 Sq. Yd.,For Sale,-,2 weeks ago,,,,Jamshed Road
Flat,PKR1.4 Crore,"Jamshed Road, Karachi, Sindh",-,156 Sq. Yd.,For Sale,-,2 weeks ago,,,,Jamshed Road
Flat,PKR1.4 Crore,"Jamshed Road, Karachi, Sindh",-,156 Sq. Yd.,For Sale,-,2 weeks ago,,,,Jamshed Road
Flat,PKR39 Lakh,"Abul Hassan Isphani Road, Karachi, Sindh",2,78 Sq. Yd.,For Sale,2,3 weeks ago,,,,Abul Hassan Isphani Road
Flat,PKR75 Lakh,"Abul Hassan Isphani Road, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,4 days ago,,,,Abul Hassan Isphani Road
Flat,PKR45 Lakh,"Abul Hassan Isphani Road, Karachi, Sindh",2,78 Sq. Yd.,For Sale,2,5 days ago,,,,Abul Hassan Isphani Road
Flat,PKR25 Lakh,"Abul Hassan Isphani Road, Karachi, Sindh",2,72 Sq. Yd.,For Sale,2,2 weeks ago,,,,Abul Hassan Isphani Road
Flat,PKR70 Lakh,"Abul Hassan Isphani Road, Karachi, Sindh",2,97 Sq. Yd.,For Sale,2,5 days ago,,,,Abul Hassan Isphani Road
Flat,PKR1.95 Crore,"Rashid Minhas Road, Karachi, Sindh",2,133 Sq. Yd.,For Sale,2,3 days ago,,,,Rashid Minhas Road
Flat,PKR2.5 Crore,"Rashid Minhas Road, Karachi, Sindh",3,167 Sq. Yd.,For Sale,3,4 days ago,,,,Rashid Minhas Road
Flat,PKR3.5 Crore,"Rashid Minhas Road, Karachi, Sindh",3,267 Sq. Yd.,For Sale,3,4 weeks ago,,,,Rashid Minhas Road
Flat,PKR2.6 Crore,"Rashid Minhas Road, Karachi, Sindh",4,189 Sq. Yd.,For Sale,3,3 weeks ago,,,,Rashid Minhas Road
Flat,PKR4.05 Crore,"Rashid Minhas Road, Karachi, Sindh",4,367 Sq. Yd.,For Sale,4,2 weeks ago,,,,Rashid Minhas Road
Flat,PKR2.5 Crore,"Rashid Minhas Road, Karachi, Sindh",3,211 Sq. Yd.,For Sale,3,5 hours ago,,,,Rashid Minhas Road
Flat,PKR4.25 Crore,"Rashid Minhas Road, Karachi, Sindh",4,370 Sq. Yd.,For Sale,4,1 week ago,,,,Rashid Minhas Road
Flat,PKR2.65 Crore,"Rashid Minhas Road, Karachi, Sindh",3,202 Sq. Yd.,For Sale,3,1 week ago,,,,Rashid Minhas Road
Flat,PKR2.45 Crore,"Rashid Minhas Road, Karachi, Sindh",4,209 Sq. Yd.,For Sale,3,2 weeks ago,,,,Rashid Minhas Road
Flat,PKR2.4 Crore,"Rashid Minhas Road, Karachi, Sindh",4,189 Sq. Yd.,For Sale,3,3 weeks ago,,,,Rashid Minhas Road
Flat,PKR1.65 Crore,"Rashid Minhas Road, Karachi, Sindh",2,133 Sq. Yd.,For Sale,2,3 weeks ago,,,,Rashid Minhas Road
Flat,PKR1.65 Crore,"Rashid Minhas Road, Karachi, Sindh",2,133 Sq. Yd.,For Sale,2,3 weeks ago,,,,Rashid Minhas Road
Flat,PKR2.5 Crore,"Rashid Minhas Road, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,4 weeks ago,,,,Rashid Minhas Road
Flat,PKR4.75 Crore,"Rashid Minhas Road, Karachi, Sindh",5,378 Sq. Yd.,For Sale,4,4 weeks ago,,,,Rashid Minhas Road
Flat,PKR2.65 Crore,"Rashid Minhas Road, Karachi, Sindh",4,189 Sq. Yd.,For Sale,3,2 weeks ago,,,,Rashid Minhas Road
Flat,PKR2.65 Crore,"Rashid Minhas Road, Karachi, Sindh",4,189 Sq. Yd.,For Sale,3,3 weeks ago,,,,Rashid Minhas Road
Flat,PKR4.9 Crore,"Rashid Minhas Road, Karachi, Sindh",4,356 Sq. Yd.,For Sale,4,1 week ago,,,,Rashid Minhas Road
Flat,PKR72 Lakh,"Rashid Minhas Road, Karachi, Sindh",2,78 Sq. Yd.,For Sale,2,4 hours ago,,,,Rashid Minhas Road
Flat,PKR85 Lakh,"Rashid Minhas Road, Karachi, Sindh",2,100 Sq. Yd.,For Sale,2,5 hours ago,,,,Rashid Minhas Road
Flat,PKR4.5 Crore,"Rashid Minhas Road, Karachi, Sindh",4,222 Sq. Yd.,For Sale,3,6 hours ago,,,,Rashid Minhas Road
Flat,PKR4.15 Crore,"Rashid Minhas Road, Karachi, Sindh",4,372 Sq. Yd.,For Sale,4,4 days ago,,,,Rashid Minhas Road
Flat,PKR90 Lakh,"Rashid Minhas Road, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,6 days ago,,,,Rashid Minhas Road
Flat,PKR4.5 Crore,"Rashid Minhas Road, Karachi, Sindh",3,344 Sq. Yd.,For Sale,3,1 week ago,,,,Rashid Minhas Road
Flat,PKR6 Crore,"Rashid Minhas Road, Karachi, Sindh",5,356 Sq. Yd.,For Sale,4,1 week ago,,,,Rashid Minhas Road
Flat,PKR1.95 Crore,"Rashid Minhas Road, Karachi, Sindh",2,133 Sq. Yd.,For Sale,2,1 week ago,,,,Rashid Minhas Road
Farm House,PKR7 Crore,"DHA City Karachi, Karachi, Sindh",4,"2,000 Sq. Yd.",For Sale,3,3 days ago,,,,DHA City Karachi
House,PKR1.65 Crore,"DHA City Karachi, Karachi, Sindh",4,125 Sq. Yd.,For Sale,4,3 weeks ago,PKR15 Lakh,PKR2.65 Lakh,34 Months,DHA City Karachi
House,PKR1.55 Crore,"DHA City Karachi, Karachi, Sindh",4,229 Sq. Yd.,For Sale,4,1 week ago,PKR15.5 Lakh,PKR4.3 Lakh,18 Months,DHA City Karachi
Flat,PKR1.45 Crore,"DHA City Karachi, Karachi, Sindh",3,161 Sq. Yd.,For Sale,3,2 weeks ago,,,,DHA City Karachi
Flat,PKR95 Lakh,"DHA City Karachi, Karachi, Sindh",2,114 Sq. Yd.,For Sale,2,2 weeks ago,,,,DHA City Karachi
Flat,PKR1.8 Crore,"DHA City Karachi, Karachi, Sindh",3,192 Sq. Yd.,For Sale,3,2 weeks ago,,,,DHA City Karachi
Flat,PKR55 Lakh,"DHA City Karachi, Karachi, Sindh",1,57 Sq. Yd.,For Sale,1,5 days ago,,,,DHA City Karachi
Flat,PKR80 Lakh,"DHA City Karachi, Karachi, Sindh",-,94 Sq. Yd.,For Sale,-,2 weeks ago,,,,DHA City Karachi
House,PKR2.55 Crore,"DHA City Karachi, Karachi, Sindh",-,245 Sq. Yd.,For Sale,-,1 day ago,,,,DHA City Karachi
House,PKR1.95 Crore,"DHA City Karachi, Karachi, Sindh",4,125 Sq. Yd.,For Sale,4,3 days ago,,,,DHA City Karachi
House,PKR1.95 Crore,"DHA City Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,2 weeks ago,,,,DHA City Karachi
Flat,PKR95.5 Lakh,"DHA City Karachi, Karachi, Sindh",2,114 Sq. Yd.,For Sale,2,2 days ago,PKR41.29 Lakh,PKR93.55 Thousand,38 Months,DHA City Karachi
House,PKR1.95 Crore,"DHA City Karachi, Karachi, Sindh",4,125 Sq. Yd.,For Sale,4,1 week ago,PKR19.5 Lakh,PKR2.65 Lakh,36 Months,DHA City Karachi
Flat,PKR85 Lakh,"DHA City Karachi, Karachi, Sindh",2,94 Sq. Yd.,For Sale,2,2 weeks ago,,,,DHA City Karachi
Flat,PKR1.08 Crore,"DHA City Karachi, Karachi, Sindh",2,114 Sq. Yd.,For Sale,2,2 weeks ago,,,,DHA City Karachi
Flat,PKR1.45 Crore,"DHA City Karachi, Karachi, Sindh",3,161 Sq. Yd.,For Sale,3,2 weeks ago,,,,DHA City Karachi
Flat,PKR57.5 Lakh,"DHA City Karachi, Karachi, Sindh",1,61 Sq. Yd.,For Sale,1,2 weeks ago,,,,DHA City Karachi
Flat,PKR1.45 Crore,"DHA City Karachi, Karachi, Sindh",3,161 Sq. Yd.,For Sale,3,2 weeks ago,,,,DHA City Karachi
Flat,PKR1.08 Crore,"DHA City Karachi, Karachi, Sindh",2,114 Sq. Yd.,For Sale,2,2 weeks ago,,,,DHA City Karachi
Flat,PKR85 Lakh,"DHA City Karachi, Karachi, Sindh",2,94 Sq. Yd.,For Sale,2,2 weeks ago,,,,DHA City Karachi
Flat,PKR1.45 Crore,"DHA City Karachi, Karachi, Sindh",3,161 Sq. Yd.,For Sale,3,2 weeks ago,,,,DHA City Karachi
Flat,PKR3.67 Crore,"DHA City Karachi, Karachi, Sindh",-,311 Sq. Yd.,For Sale,4,2 weeks ago,,,,DHA City Karachi
Farm House,PKR7 Crore,"DHA City Karachi, Karachi, Sindh",4,"2,000 Sq. Yd.",For Sale,3,2 weeks ago,,,,DHA City Karachi
Farm House,PKR7 Crore,"DHA City Karachi, Karachi, Sindh",-,"2,000 Sq. Yd.",For Sale,-,1 month ago,,,,DHA City Karachi
Farm House,PKR7 Crore,"DHA City Karachi, Karachi, Sindh",-,"2,000 Sq. Yd.",For Sale,-,1 month ago,,,,DHA City Karachi
Flat,PKR3 Crore,"Defence View Society, Karachi, Sindh",4,200 Sq. Yd.,For Sale,3,2 weeks ago,PKR30 Lakh,PKR2.5 Lakh,48 Months,Defence View Society
Flat,PKR2.3 Crore,"Defence View Society, Karachi, Sindh",3,167 Sq. Yd.,For Sale,3,2 weeks ago,,,,Defence View Society
Flat,PKR1 Crore,"Defence View Society, Karachi, Sindh",2,120 Sq. Yd.,For Sale,2,31 minutes ago,,,,Defence View Society
Flat,PKR1.3 Crore,"Defence View Society, Karachi, Sindh",2,120 Sq. Yd.,For Sale,2,2 weeks ago,,,,Defence View Society
Flat,PKR2.15 Crore,"Defence View Society, Karachi, Sindh",3,133 Sq. Yd.,For Sale,3,6 days ago,PKR23 Lakh,PKR2 Lakh,48 Months,Defence View Society
Flat,PKR3.5 Crore,"Defence View Society, Karachi, Sindh",5,233 Sq. Yd.,For Sale,4,6 days ago,PKR35 Lakh,PKR3.8 Lakh,42 Months,Defence View Society
Flat,PKR2.3 Crore,"Defence View Society, Karachi, Sindh",-,167 Sq. Yd.,For Sale,-,6 days ago,PKR25 Lakh,PKR2.15 Lakh,42 Months,Defence View Society
Flat,PKR66 Lakh,"Defence View Society, Karachi, Sindh",2,80 Sq. Yd.,For Sale,2,1 day ago,,,,Defence View Society
Flat,PKR1.45 Crore,"Defence View Society, Karachi, Sindh",3,178 Sq. Yd.,For Sale,3,1 day ago,,,,Defence View Society
Flat,PKR75 Lakh,"Defence View Society, Karachi, Sindh",2,80 Sq. Yd.,For Sale,2,1 day ago,,,,Defence View Society
House,PKR78 Lakh,"Defence View Society, Karachi, Sindh",2,80 Sq. Yd.,For Sale,2,1 day ago,,,,Defence View Society
Flat,PKR82 Lakh,"Defence View Society, Karachi, Sindh",2,72 Sq. Yd.,For Sale,2,1 day ago,,,,Defence View Society
Flat,PKR74 Lakh,"Defence View Society, Karachi, Sindh",2,80 Sq. Yd.,For Sale,2,1 day ago,,,,Defence View Society
Flat,PKR75 Lakh,"Defence View Society, Karachi, Sindh",2,80 Sq. Yd.,For Sale,2,1 day ago,,,,Defence View Society
Flat,PKR1.15 Crore,"Defence View Society, Karachi, Sindh",2,120 Sq. Yd.,For Sale,2,1 day ago,,,,Defence View Society
Flat,PKR1.5 Crore,"Defence View Society, Karachi, Sindh",3,189 Sq. Yd.,For Sale,3,1 day ago,,,,Defence View Society
Flat,PKR3.2 Crore,"Defence View Society, Karachi, Sindh",6,267 Sq. Yd.,For Sale,4,1 day ago,,,,Defence View Society
Flat,PKR2.3 Crore,"Defence View Society, Karachi, Sindh",3,140 Sq. Yd.,For Sale,2,5 hours ago,PKR23 Lakh,PKR3 Lakh,60 Months,Defence View Society
Flat,PKR65 Lakh,"Defence View Society, Karachi, Sindh",2,80 Sq. Yd.,For Sale,2,1 day ago,,,,Defence View Society
Flat,PKR94 Lakh,"Defence View Society, Karachi, Sindh",2,117 Sq. Yd.,For Sale,2,1 day ago,,,,Defence View Society
Flat,PKR75 Lakh,"Defence View Society, Karachi, Sindh",2,80 Sq. Yd.,For Sale,2,1 day ago,,,,Defence View Society
Flat,PKR1.15 Crore,"Defence View Society, Karachi, Sindh",2,128 Sq. Yd.,For Sale,3,1 day ago,,,,Defence View Society
Flat,PKR65 Lakh,"Defence View Society, Karachi, Sindh",2,80 Sq. Yd.,For Sale,2,1 day ago,,,,Defence View Society
Flat,PKR67 Lakh,"Defence View Society, Karachi, Sindh",2,72 Sq. Yd.,For Sale,2,1 day ago,,,,Defence View Society
House,PKR3.5 Crore,"Defence View Society, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,1 day ago,,,,Defence View Society
Flat,PKR3.5 Crore,"Khalid Bin Walid Road, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,2 weeks ago,,,,Khalid Bin Walid Road
Flat,PKR2.9 Crore,"Khalid Bin Walid Road, Karachi, Sindh",4,233 Sq. Yd.,For Sale,4,4 weeks ago,,,,Khalid Bin Walid Road
Flat,PKR3.1 Crore,"Khalid Bin Walid Road, Karachi, Sindh",2,200 Sq. Yd.,For Sale,2,3 weeks ago,,,,Khalid Bin Walid Road
Flat,PKR3 Crore,"Khalid Bin Walid Road, Karachi, Sindh",2,117 Sq. Yd.,For Sale,2,20 hours ago,,,,Khalid Bin Walid Road
Flat,PKR3.4 Crore,"Khalid Bin Walid Road, Karachi, Sindh",4,194 Sq. Yd.,For Sale,3,20 hours ago,,,,Khalid Bin Walid Road
Flat,PKR2.4 Crore,"Khalid Bin Walid Road, Karachi, Sindh",3,150 Sq. Yd.,For Sale,3,2 days ago,,,,Khalid Bin Walid Road
Flat,PKR7 Crore,"Khalid Bin Walid Road, Karachi, Sindh",4,289 Sq. Yd.,For Sale,4,1 week ago,,,,Khalid Bin Walid Road
Flat,PKR7.2 Crore,"Khalid Bin Walid Road, Karachi, Sindh",4,267 Sq. Yd.,For Sale,4,1 week ago,,,,Khalid Bin Walid Road
Flat,PKR2 Crore,"Khalid Bin Walid Road, Karachi, Sindh",3,143 Sq. Yd.,For Sale,3,2 weeks ago,,,,Khalid Bin Walid Road
Penthouse,PKR1.9 Crore,"Khalid Bin Walid Road, Karachi, Sindh",3,178 Sq. Yd.,For Sale,3,4 days ago,,,,Khalid Bin Walid Road
Flat,PKR4 Crore,"Khalid Bin Walid Road, Karachi, Sindh",4,244 Sq. Yd.,For Sale,4,3 weeks ago,,,,Khalid Bin Walid Road
Flat,PKR3.6 Crore,"Khalid Bin Walid Road, Karachi, Sindh",3,178 Sq. Yd.,For Sale,3,9 hours ago,,,,Khalid Bin Walid Road
Flat,PKR6.25 Crore,"Khalid Bin Walid Road, Karachi, Sindh",4,311 Sq. Yd.,For Sale,4,1 week ago,,,,Khalid Bin Walid Road
Flat,PKR3 Crore,"Khalid Bin Walid Road, Karachi, Sindh",2,133 Sq. Yd.,For Sale,2,4 weeks ago,,,,Khalid Bin Walid Road
Flat,PKR6.5 Crore,"Khalid Bin Walid Road, Karachi, Sindh",6,272 Sq. Yd.,For Sale,-,20 hours ago,,,,Khalid Bin Walid Road
House,PKR2 Crore,"Khalid Bin Walid Road, Karachi, Sindh",-,128 Sq. Yd.,For Sale,-,3 days ago,,,,Khalid Bin Walid Road
Flat,PKR3.4 Crore,"Khalid Bin Walid Road, Karachi, Sindh",4,167 Sq. Yd.,For Sale,4,1 week ago,,,,Khalid Bin Walid Road
Flat,PKR3.75 Crore,"Khalid Bin Walid Road, Karachi, Sindh",4,183 Sq. Yd.,For Sale,3,2 weeks ago,,,,Khalid Bin Walid Road
Flat,PKR2.95 Crore,"Khalid Bin Walid Road, Karachi, Sindh",3,194 Sq. Yd.,For Sale,3,2 weeks ago,,,,Khalid Bin Walid Road
Flat,PKR2.95 Crore,"Khalid Bin Walid Road, Karachi, Sindh",3,194 Sq. Yd.,For Sale,3,2 weeks ago,,,,Khalid Bin Walid Road
Flat,PKR2.95 Crore,"Khalid Bin Walid Road, Karachi, Sindh",3,194 Sq. Yd.,For Sale,3,2 weeks ago,,,,Khalid Bin Walid Road
Flat,PKR5.5 Crore,"Khalid Bin Walid Road, Karachi, Sindh",3,244 Sq. Yd.,For Sale,3,2 weeks ago,,,,Khalid Bin Walid Road
Lower Portion,PKR4.6 Crore,"Khalid Bin Walid Road, Karachi, Sindh",4,300 Sq. Yd.,For Sale,4,2 weeks ago,,,,Khalid Bin Walid Road
Flat,PKR3.9 Crore,"Khalid Bin Walid Road, Karachi, Sindh",4,222 Sq. Yd.,For Sale,4,3 weeks ago,,,,Khalid Bin Walid Road
Flat,PKR3.5 Crore,"Khalid Bin Walid Road, Karachi, Sindh",3,194 Sq. Yd.,For Sale,3,3 weeks ago,,,,Khalid Bin Walid Road
Flat,PKR4.1 Crore,"Tariq Road, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,3 days ago,,,,Tariq Road
Penthouse,PKR2.55 Crore,"Tariq Road, Karachi, Sindh",-,154 Sq. Yd.,For Sale,-,3 weeks ago,,,,Tariq Road
Flat,PKR2.1 Crore,"Tariq Road, Karachi, Sindh",3,144 Sq. Yd.,For Sale,3,4 hours ago,,,,Tariq Road
Flat,PKR7 Crore,"Tariq Road, Karachi, Sindh",4,267 Sq. Yd.,For Sale,4,1 day ago,,,,Tariq Road
House,PKR5 Crore,"Tariq Road, Karachi, Sindh",-,200 Sq. Yd.,For Sale,-,2 days ago,,,,Tariq Road
Flat,PKR4.15 Crore,"Tariq Road, Karachi, Sindh",4,194 Sq. Yd.,For Sale,3,2 days ago,,,,Tariq Road
